name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status
Batman - The Ride,Steel,Inverted,80.0,32.0,823.0,5.0,B&M,Six Flags New Orleans,status.closed.definitely
Jester,Steel,Sit Down,64.0,24.0,585.0,3.0,Vekoma,Six Flags New Orleans,status.closed.definitely
Mega Zeph,Wooden,Sit Down,90.0,34.0,1220.0,0.0,CCI,Six Flags New Orleans,status.closed.definitely
Muskrat Scrambler,Steel,Sit Down,40.0,12.0,263.0,0.0,L&T Systems,Six Flags New Orleans,status.closed.definitely
Road Runner's Express,Steel,Sit Down,35.0,9.0,207.0,0.0,Vekoma,Six Flags New Orleans,status.closed.definitely
Zydeco Scream,Steel,Sit Down,75.0,36.0,267.0,3.0,Vekoma,Six Flags New Orleans,status.closed.definitely
Bat,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,Canada's Wonderland,status.operating
Dragon Fire,Steel,Sit Down,81.0,24.0,658.0,4.0,Arrow,Canada's Wonderland,status.operating
Fly,Steel,Sit Down,56.0,16.0,400.0,0.0,Mack,Canada's Wonderland,status.operating
Back Lot Stunt Coaster,Steel,Sit Down,64.0,14.0,597.0,0.0,Premier Rides,Canada's Wonderland,status.operating
Mighty Canadian Minebuster,Wooden,Sit Down,90.0,27.0,1167.0,0.0,Philadelphia Toboggan Coaster,Canada's Wonderland,status.operating
Ghoster Coaster,Wooden,Sit Down,56.0,13.0,413.0,0.0,Philadelphia Toboggan Coaster,Canada's Wonderland,status.operating
Silver Streak,Steel,Inverted,42.0,15.0,342.0,0.0,Vekoma,Canada's Wonderland,status.operating
SkyRider,Steel,Stand Up,82.0,27.0,673.0,1.0,Togo,Canada's Wonderland,status.closed.definitely
Taxi Jam,Steel,Sit Down,,,,0.0,Miler Coaster,Canada's Wonderland,status.operating
Thunder Run,Steel,Sit Down,64.0,10.0,330.0,0.0,Mack,Canada's Wonderland,status.operating
Time Warp,Steel,Flying,41.0,15.0,391.0,2.0,Zamperla,Canada's Wonderland,status.operating
Flight Deck,Steel,Inverted,80.0,33.0,989.0,5.0,Vekoma,Canada's Wonderland,status.operating
Vortex,Steel,Suspended,89.0,28.0,780.0,0.0,Arrow,Canada's Wonderland,status.operating
Wild Beast,Wooden,Sit Down,90.0,25.0,960.0,0.0,Philadelphia Toboggan Coaster,Canada's Wonderland,status.operating
Clown Coaster,Steel,Sit Down,,,,0.0,Pinfari,Oakwood,status.operating
Megafobia,Wooden,Sit Down,77.0,26.0,901.0,0.0,CCI,Oakwood,status.operating
Speed,Steel,Sit Down,95.0,35.0,610.0,2.0,Gerstlauer,Oakwood,status.operating
Treetops Rollercoaster,Steel,Sit Down,36.0,8.0,360.0,0.0,Zierer,Oakwood,status.operating
Hundeprut,Steel,Sit Down,30.0,5.0,128.0,0.0,Zierer,Bonbon-Land,status.operating
Vild-Svinet,Steel,Sit Down,72.0,22.0,428.0,1.0,Gerstlauer,Bonbon-Land,status.operating
Eejanaika,Steel,4th Dimension,126.0,76.0,1153.0,2.0,S&S,Fuji-Q Highland,status.operating
Nighthawk ,Steel,Flying,82.0,35.0,843.0,5.0,Vekoma,Carowinds,status.operating
Carolina Cyclone,Steel,Sit Down,66.0,20.0,640.0,4.0,Arrow,Carowinds,status.operating
Carolina Goldrusher,Hybrid,Sit Down,,,731.0,0.0,Arrow,Carowinds,status.operating
Dragon (le),Steel,Sit Down,45.0,10.0,250.0,0.0,Pinfari,Foire,status.operating
Boulder Dash,Wooden,Sit Down,97.0,35.0,1440.0,0.0,CCI,Lake Compounce,status.operating
Shivering Timbers,Steel,Sit Down,92.0,37.0,1641.0,0.0,CCI,Michigan's Adventure,status.operating
Woodstock Express,Wooden,Sit Down,,,413.0,0.0,Philadelphia Toboggan Coaster,Carowinds,status.operating
Flying Super Saturator,Steel,Suspended,48.0,13.0,331.0,0.0,SetPoint,Carowinds,status.closed.definitely
Lucy's Crabbie Cabbie,Steel,Sit Down,,5.0,,0.0,Miler Coaster,Carowinds,status.operating
Hurler,Steel,Sit Down,81.0,25.0,962.0,0.0,CCI,Carowinds,status.operating
Ricochet,Steel,Sit Down,45.0,14.0,370.0,0.0,Mack,Carowinds,status.operating
Kiddy Hawk,Steel,Suspended,42.0,15.0,342.0,0.0,Vekoma,Carowinds,status.operating
Thunder Road (Left),Wooden,Sit Down,93.0,28.0,1164.0,0.0,Philadelphia Toboggan Coaster,Carowinds,status.closed.definitely
Afterburn,Steel,Inverted,100.0,34.0,900.0,6.0,B&M,Carowinds,status.operating
Vortex,Steel,Stand Up,81.0,27.0,622.0,2.0,B&M,Carowinds,status.operating
Man-O-War,Steel,Sit Down,,30.0,,3.0,S&S,Mysterious Island,status.operating
Skycar,Steel,Sit Down,91.0,34.0,450.0,1.0,Intamin,Mysterious Island,status.operating
Steel Dragon 2000,Steel,Sit Down,153.0,97.0,2479.0,0.0,Morgan,Nagashima Spa Land,status.operating
Ultra Twister,Steel,Pipeline,71.0,29.0,420.0,3.0,Togo,Nagashima Spa Land,status.operating
Bobkart,Steel,Sit Down,40.0,,822.0,0.0,na,Nagashima Spa Land,status.operating
Children Coaster,Steel,Sit Down,32.0,6.0,200.0,0.0,Zierer,Nagashima Spa Land,status.operating
Corkscrew,Steel,Sit Down,70.0,21.0,377.0,2.0,Arrow,Nagashima Spa Land,status.operating
Jet Coaster,Steel,Sit Down,,,,0.0,Togo,Nagashima Spa Land,status.operating
Looping Star,Steel,Sit Down,75.0,24.0,592.0,1.0,Schwarzkopf,Nara Dreamland,status.closed.definitely
Shuttle Loop,Steel,Sit Down,85.0,41.0,260.0,1.0,Schwarzkopf,Nagashima Spa Land,status.operating
White Cyclone,Wooden,Sit Down,102.0,42.0,1700.0,0.0,Intamin,Nagashima Spa Land,status.retracked
Wild Mouse,Steel,Sit Down,,14.0,370.0,0.0,Mack,Nagashima Spa Land,status.operating
Autosled,Steel,Sit Down,48.0,11.0,335.0,0.0,Zierer,Galaxyland Amusement Park,status.operating
MindBender,Steel,Sit Down,97.0,44.0,1280.0,3.0,Schwarzkopf,Galaxyland Amusement Park,status.operating
Kiddie Coaster,Steel,Sit Down,,,,0.0,na,Lake Compounce,status.operating
Wildcat,Steel,Sit Down,77.0,26.0,837.0,0.0,Charlie Dinn,Lake Compounce,status.operating
Zoomerang,Steel,Sit Down,75.0,35.0,285.0,3.0,Vekoma,Lake Compounce,status.operating
Die Vliegende Hollander,Steel,Water Coaster,,23.0,420.0,0.0,Kumbak,Efteling,status.operating
Wild Mouse,Steel,Spinning,47.0,13.0,420.0,0.0,Reverchon,Plopsa Coo,status.closed.definitely
Big Dipper,Steel,Sit Down,,5.0,,0.0,Chance Rides,Michigan's Adventure,status.operating
Corkscrew,Steel,Sit Down,72.0,21.0,381.0,2.0,Arrow,Michigan's Adventure,status.operating
Mad Mouse,Steel,Sit Down,,21.0,387.0,0.0,Arrow,Michigan's Adventure,status.operating
Wolverine Wildcat,Wooden,Sit Down,89.0,26.0,914.0,0.0,Dinn Corp.,Michigan's Adventure,status.operating
Halvar,Steel,Sit Down,,,570.0,0.0,Vekoma,Plopsa Coo,status.operating
Viktor's Race,Steel,Sit Down,36.0,8.0,360.0,0.0,Zierer,Plopsaland,status.operating
Draak,Steel,Sit Down,36.0,14.0,450.0,0.0,Mack,Plopsaland,status.operating
K3 Roller Skater,Steel,Sit Down,45.0,13.0,335.0,0.0,Vekoma,Plopsaland,status.operating
SuperSplash,Steel,Water Coaster,68.0,24.0,300.0,0.0,Mack,Plopsaland,status.operating
Vleermuis (Right),Steel,Suspended,,,,0.0,Caripro,Plopsaland,status.relocated
Batflyer,Steel,Suspended,36.0,,147.0,0.0,Caripro,Nasu Highland Park,status.operating
Big Boom,Steel,Sit Down,88.0,38.0,650.0,1.0,Meisho Amusement Machines,Nasu Highland Park,status.operating
Camel Coaster,Steel,Sit Down,80.0,28.0,1200.0,0.0,Meisho Amusement Machines,Nasu Highland Park,status.operating
Dragon,Steel,Sit Down,,,,0.0,Zamperla,Nasu Highland Park,status.operating
F2 Fright Flight,Steel,Inverted,80.0,33.0,689.0,5.0,Vekoma,Nasu Highland Park,status.operating
Lightning Coaster,Steel,Sit Down,70.0,26.0,704.0,0.0,Meisho Amusement Machines,Nasu Highland Park,status.operating
Panic Drive,Steel,Sit Down,31.0,10.0,236.0,0.0,Sansei Yusoki,Nasu Highland Park,status.operating
Spin Turn,Steel,Spinning,47.0,21.0,500.0,0.0,Meisho Amusement Machines,Nasu Highland Park,status.operating
Thunder Coaster,Steel,Sit Down,63.0,,450.0,2.0,Meisho Amusement Machines,Nasu Highland Park,status.operating
Bob Express,Steel,Sit Down,36.0,10.0,521.0,0.0,Mack,Bobbejaanland,status.operating
Ghost Chasers,Steel,Sit Down,45.0,14.0,370.0,0.0,Mack,Movie Park Germany,status.operating
Backyardigans: Mission to Mars,Steel,Sit Down,35.0,9.0,207.0,0.0,Vekoma,Movie Park Germany,status.operating
Dragon,Steel,Sit Down,,5.0,200.0,0.0,Soquet,Jardin d'Acclimatation,status.closed.temporarily
La Machine à Vapeur,Steel,Sit Down,40.0,,,0.0,Soquet,Jardin d'Acclimatation,status.closed.temporarily
Furio,Steel,Sit Down,,,,0.0,Soquet,Dennlys Parc,status.operating
Tornado,Steel,Sit Down,,,,0.0,Zamperla,Dennlys Parc,status.closed.definitely
Drakkar,Steel,Sit Down,,,,0.0,Soquet,Didiland,status.operating
Pomme,Steel,Sit Down,30.0,4.0,,0.0,SBF,Didiland,status.closed.definitely
Falken,Steel,Sit Down,75.0,20.0,622.0,0.0,S&S,Farup Sommerland,status.operating
Flagermusen,Steel,Sit Down,47.0,13.0,420.0,0.0,Reverchon,Farup Sommerland,status.operating
Mini Lynet,Steel,Sit Down,,,,0.0,CAM Baby Kart,Farup Sommerland,status.closed.definitely
Mine Expressen,Steel,Sit Down,46.0,13.0,335.0,0.0,Vekoma,Farup Sommerland,status.operating
Boomerang,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,Karolinelund,status.operating
Caterpillar,Steel,Sit Down,,,,0.0,Pinfari,Karolinelund,status.operating
Looping TL 59,Steel,Sit Down,,,,1.0,Pinfari,Karolinelund,status.operating
Dæmonen,Steel,Floorless,77.0,28.0,564.0,3.0,B&M,Tivoli Gardens,status.operating
Karavanen,Steel,Sit Down,26.0,3.0,60.0,0.0,Zierer,Tivoli Gardens,status.closed.definitely
Odin Ekspressen,Steel,Sit Down,60.0,,300.0,0.0,Mack,Tivoli Gardens,status.closed.definitely
Rutschebanen,Wooden,Sit Down,50.0,13.0,720.0,0.0,L.A. Thompson Scenic Railway,Tivoli Gardens,status.operating
Great White,Steel,Inverted,81.0,33.0,781.0,5.0,B&M,SeaWorld San Antonio,status.operating
Super Grover's Box Car Derby,Steel,Sit Down,24.0,4.0,70.0,0.0,Zierer,SeaWorld San Antonio,status.operating
Steel Eel,Steel,Sit Down,105.0,46.0,1128.0,0.0,Morgan,SeaWorld San Antonio,status.operating
Journey to Atlantis,Steel,Water Coaster,68.0,29.0,,0.0,Mack,SeaWorld San Diego,status.operating
Super Grover's Box Car Derby,Steel,Sit Down,,,,0.0,Zierer,SeaWorld Orlando,status.operating
Journey to Atlantis,Steel,Water Coaster,,,,0.0,Mack,SeaWorld Orlando,status.operating
Thunder Loop,Steel,Sit Down,75.0,24.0,592.0,1.0,Schwarzkopf,Attractiepark Slagharen,status.relocated
Donderstenen,Steel,Sit Down,39.0,9.0,222.0,0.0,Zierer,Avonturenpark Hellendoorn,status.operating
Tornado,Steel,Sit Down,70.0,25.0,460.0,2.0,Vekoma,Avonturenpark Hellendoorn,status.operating
Speedy Bob (Left),Steel,Sit Down,45.0,14.0,370.0,0.0,Mack,Bobbejaanland,status.relocated
Rioolrat,Steel,Sit Down,45.0,,305.0,0.0,Vekoma,Avonturenpark Hellendoorn,status.operating
Mine Train,Steel,Sit Down,13.0,46.0,305.0,0.0,Vekoma,Attractiepark Slagharen,status.operating
Wilderness Run,Steel,Sit Down,10.0,6.0,135.0,0.0,Intamin,Cedar Point,status.operating
Mine Coaster,Steel,Sit Down,48.0,14.0,785.0,0.0,Vekoma,Happy Valley Shenzhen,status.operating
Snow Mountain Flying Dragon,Steel,Inverted,88.0,38.0,671.0,4.0,Vekoma,Happy Valley Shenzhen,status.operating
Kikker-8-Baan,Steel,Sit Down,36.0,8.0,360.0,0.0,Zierer,Duinrell,status.operating
Crazy Mine,Steel,Sit Down,45.0,15.0,370.0,0.0,Maurer,Hansa Park,status.operating
Nessie Superrollercoaster,Steel,Sit Down,79.0,26.0,741.0,1.0,Schwarzkopf,Hansa Park,status.operating
Rasender Roland,Steel,Sit Down,50.0,16.0,522.0,0.0,Vekoma,Hansa Park,status.operating
Drachenjagd,Steel,Sit Down,33.0,6.0,150.0,0.0,Gerstlauer,Legoland Deutschland,status.operating
Feuerdrache,Steel,Sit Down,60.0,16.0,860.0,0.0,Zierer,Legoland Deutschland,status.operating
Project X - Test Strecke,Steel,Sit Down,56.0,16.0,400.0,0.0,Mack,Legoland Deutschland,status.operating
Barnstormer,Steel,Sit Down,39.0,9.0,222.0,0.0,Zierer,Adventure Island,status.operating
Green Scream,Steel,Sit Down,,,,0.0,Zierer,Adventure Island,status.operating
Mighty Mini Mega,Steel,Sit Down,40.0,902.0,233.0,0.0,Pinfari,Adventure Island,status.operating
Cirkusexpressen,Steel,Sit Down,32.0,6.0,199.0,0.0,Zierer,Liseberg,status.closed.definitely
Lisebergbanan,Steel,Sit Down,80.0,45.0,1548.0,0.0,Schwarzkopf,Liseberg,status.operating
Cyclops,Steel,Sit Down,93.0,21.0,579.0,0.0,CCI,Mt. Olympus Water & Theme Park,status.operating
Little Titans,Steel,Sit Down,,,,0.0,Miler Coaster,Mt. Olympus Water & Theme Park,status.operating
Opa,Steel,Sit Down,47.0,13.0,,0.0,Zamperla,Mt. Olympus Water & Theme Park,status.closed.definitely
Pegasus,Steel,Sit Down,,18.0,,0.0,CCI,Mt. Olympus Water & Theme Park,status.operating
Zeus,Wooden,Sit Down,97.0,27.0,884.0,0.0,CCI,Mt. Olympus Water & Theme Park,status.operating
Comet,Steel,Sit Down,81.0,26.0,1024.0,0.0,Philadelphia Toboggan Coaster,Hersheypark,status.operating
Lightning Racer (Thunder),Wooden,Sit Down,82.0,27.0,1036.0,0.0,GCI,Hersheypark,status.operating
Roller Soaker,Steel,Water Coaster,33.0,21.0,396.0,0.0,SetPoint,Hersheypark,status.closed.definitely
Sidewinder,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,Hersheypark,status.operating
Sooperdooperlooper,Steel,Sit Down,,,,1.0,Schwarzkopf,Hersheypark,status.operating
Trailblazer,Steel,Sit Down,,,,0.0,Arrow,Hersheypark,status.operating
Wild Mouse,Steel,Sit Down,45.0,14.0,370.0,0.0,Mack,Hersheypark,status.operating
Wildcat,Wooden,Sit Down,81.0,27.0,970.0,0.0,GCI,Hersheypark,status.operating
Labyrinth,Steel,Sit Down,38.0,12.0,410.0,0.0,Meisho Amusement Machines,Himeji Central Park,status.operating
Jet Coaster,Steel,Sit Down,65.0,,,0.0,Meisho Amusement Machines,Himeji Central Park,status.operating
Imorinth,Steel,Sit Down,22.0,5.0,131.0,0.0,Pinfari,Himeji Central Park,status.operating
Diavlo,Steel,Inverted,78.0,33.0,794.0,5.0,B&M,Himeji Central Park,status.operating
Diving Machine G5,Steel,Sit Down,110.0,55.0,381.0,0.0,B&M,Janfusun Fancyworld,status.operating
Diving Machine Jr.,Steel,Sit Down,,,217.0,0.0,Zamperla,Janfusun Fancyworld,status.operating
Insane Speed,Steel,Floorless,56.0,,816.0,4.0,B&M,Janfusun Fancyworld,status.operating
Dragen,Steel,Sit Down,,,,0.0,Mack,Legoland Billund,status.operating
Timber Ride,Steel,Sit Down,26.0,3.0,60.0,0.0,Zierer,Legoland Billund,status.closed.definitely
Eden Rail,Steel,Sit Down,,,,0.0,S.D.C.,Magic Park Land,status.closed.definitely
Chenille,Steel,Sit Down,,,,0.0,DAL,Magic Park Land,status.operating
Maverick,Steel,Sit Down,113.0,32.0,1356.0,2.0,Intamin,Cedar Point,status.operating
AfterBurner,Steel,Sit Down,,46.0,,2.0,S&S,Wonder Island,status.closed.definitely
Big Whirl Wind,Steel,Sit Down,87.0,,983.0,0.0,Schwarzkopf,Wonder Island,status.operating
Flitzer,Steel,Sit Down,,,,0.0,Zierer,Wonder Island,status.closed.definitely
Star Wars,Steel,Spinning,,,,0.0,Stein Company,Wonder Island,status.closed.definitely
Whirl Wind,Steel,Sit Down,60.0,20.0,350.0,2.0,Vekoma,Wonder Island,status.operating
Magic Mountain,Steel,Sit Down,,,,1.0,Top Fun,Magic World,status.closed.definitely
Verde Bruco Brucomela,Steel,Sit Down,,,,0.0,Pinfari,Magic World,status.closed.temporarily
Crazy Mouse,Steel,Sit Down,47.0,13.0,420.0,0.0,Reverchon,Magic World,status.closed.temporarily
Fantasy Mouse,Steel,Sit Down,,,,0.0,L&T Systems,Cavallino Matto,status.operating
Gioco Farfalla,Steel,Sit Down,,6.0,,0.0,Heege Freizeittechnik,Cavallino Matto,status.closed.definitely
Speedy Gonzales,Steel,Sit Down,34.0,6.0,135.0,0.0,L&T Systems,Cavallino Matto,status.operating
Segreti Della Terra,Steel,Sit Down,,,,0.0,Zamperla,Felifonte,status.operating
Brucomela,Steel,Sit Down,,,,0.0,Pinfari,Luneur,status.operating
Looping Star,Steel,Sit Down,77.0,25.0,592.0,1.0,Schwarzkopf,Luneur,status.operating
Nessie,Steel,Sit Down,,,,0.0,na,Luneur,status.operating
Treno delle miniere,Steel,Sit Down,,,,0.0,Pinfari,Luneur,status.operating
Tokaida,Steel,Sit Down,40.0,7.0,195.0,0.0,Pinfari,Luneur,status.operating
Orca Ride,Steel,Sit Down,,12.0,,0.0,Zierer,Boudewijn Seapark,status.operating
Big Apple,Steel,Sit Down,,,,0.0,na,Codona's Amusement Park,status.operating
Crazy Train,Steel,Sit Down,40.0,902.0,233.0,0.0,Pinfari,Codona's Amusement Park,status.operating
Looping Star,Steel,Sit Down,,11.0,365.0,1.0,Pinfari,Codona's Amusement Park,status.operating
Renegade,Wooden,Sit Down,,32.0,950.0,0.0,GCI,Valleyfair,status.operating
Crush's Coaster,Steel,Spinning,61.0,16.0,424.0,0.0,Maurer,Walt Disney Studios,status.operating
Fiesta Express,Steel,Sit Down,,2.0,80.0,0.0,Zamperla,Legoland Florida,status.closed.definitely
Galaxy Spin,Steel,Sit Down,47.0,13.0,420.0,0.0,Zamperla,Legoland Florida,status.closed.definitely
Dragon,Steel,Sit Down,46.0,13.0,335.0,0.0,Vekoma,Legoland Florida,status.operating
Starliner,Steel,Sit Down,,21.0,805.0,0.0,Philadelphia Toboggan Coaster,Legoland Florida,status.closed.definitely
Flying School,Steel,Suspended,42.0,15.0,342.0,0.0,Vekoma,Legoland Florida,status.operating
Coastersaurus,Steel,Sit Down,52.0,12.0,416.0,0.0,Martin & Vleminckx,Legoland Florida,status.operating
Devil's Mine,Steel,Sit Down,,20.0,410.0,0.0,Vekoma,Fort Fun Abenteuerland,status.operating
Marienkäferbahn,Steel,Sit Down,36.0,8.0,360.0,0.0,Zierer,Fort Fun Abenteuerland,status.operating
Speedsnake FREE,Steel,Sit Down,60.0,20.0,350.0,2.0,Vekoma,Fort Fun Abenteuerland,status.operating
Snoopy's Great Race,Steel,Sit Down,,,,0.0,Senyo Kogyo,Universal Studios Japan,status.operating
Dragen,Steel,Sit Down,,,,0.0,Pinfari,Tivoli Friheden,status.operating
Orkanens Øje,Steel,Sit Down,,11.0,365.0,1.0,Pinfari,Tivoli Friheden,status.operating
Tyfonen,Steel,Sit Down,47.0,13.0,420.0,0.0,Zamperla,Tivoli Friheden,status.operating
Boomerang,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,Knott's Berry Farm,status.closed.definitely
GhostRider,Wooden,Sit Down,90.0,36.0,1382.0,0.0,GCI,Knott's Berry Farm,status.operating
Jaguar!,Steel,Sit Down,56.0,20.0,793.0,0.0,Zierer,Knott's Berry Farm,status.operating
Montezooma's Revenge,Steel,Sit Down,89.0,45.0,244.0,1.0,Schwarzkopf,Knott's Berry Farm,status.operating
Silver Bullet,Steel,Inverted,89.0,45.0,953.0,6.0,B&M,Knott's Berry Farm,status.operating
Timberline Twister,Steel,Sit Down,,9.0,,0.0,Bradley & Kaye,Knott's Berry Farm,status.operating
Train de la Mine,Steel,Sit Down,,,,0.0,Soquet,Papea Parc,status.operating
Furius Baco,Steel,Wing,135.0,14.0,900.0,1.0,Intamin,Port Aventura,status.operating
Hollywood Dream : The Ride,Steel,Sit Down,90.0,44.0,1200.0,0.0,B&M,Universal Studios Japan,status.operating
Kirnu,Steel,4th Dimension,60.0,26.0,142.0,0.0,Intamin,Linnanmäki,status.operating
Big Coaster,Steel,Sit Down,,,,0.0,Pinfari,Wonderland Amusement Park,status.operating
Cyclone,Steel,Sit Down,,,,0.0,Carl Miler,Wonderland Amusement Park,status.operating
Texas Tornado,Steel,Sit Down,,24.0,625.0,2.0,Hopkins,Wonderland Amusement Park,status.operating
Cobra,Steel,Sit Down,85.0,42.0,215.0,1.0,Pax,Conny-Land,status.operating
Desert Race,Steel,Sit Down,100.0,19.0,650.0,0.0,Intamin,Heide Park,status.operating
Flying Fish,Steel,Sit Down,30.0,6.0,234.0,0.0,Mack,Thorpe Park,status.operating
Griffon,Steel,Floorless,120.0,62.0,950.0,2.0,B&M,Busch Gardens Williamsburg,status.operating
Journey To Atlantis,Steel,Water Coaster,80.0,30.0,,0.0,Mack,SeaWorld San Antonio,status.operating
Heiße Fahrt,Steel,Sit Down,55.0,18.0,533.0,0.0,Gerstlauer,Wild- und Freizeitpark,status.operating
Mystery Mine,Steel,Sit Down,74.0,35.0,552.0,2.0,Gerstlauer,Dollywood,status.operating
Mariehønen,Steel,Sit Down,26.0,3.0,60.0,0.0,Zierer,Bakken,status.operating
Mine Train Ulven,Steel,Sit Down,65.0,19.0,,0.0,Intamin,Bakken,status.operating
Racing,Steel,Sit Down,,,,0.0,Zierer,Bakken,status.operating
Rutschebanen,Steel,Sit Down,75.0,22.0,987.0,0.0,ACE Coaster Classic,Bakken,status.operating
Falcon,Steel,Sit Down,,22.0,320.0,2.0,Gerstlauer,Duinrell,status.operating
Wipeout,Steel,Sit Down,77.0,36.0,285.0,3.0,Vekoma,Pleasurewood Hills,status.operating
Enigma,Steel,Sit Down,55.0,16.0,530.0,0.0,Schwarzkopf,Pleasurewood Hills,status.operating
Snake In The Grass,Steel,Sit Down,36.0,8.0,360.0,0.0,Zierer,Pleasurewood Hills,status.operating
Família Expressz,Steel,Sit Down,40.0,7.0,195.0,0.0,Pinfari,Vidámpark,status.operating
Hullámvasút,Steel,Sit Down,,17.0,980.0,0.0,ACE Coaster Classic,Vidámpark,status.operating
Kukomotív,Steel,Sit Down,,,,0.0,D.P.V. Rides,Vidámpark,status.operating
Looping Star,Steel,Sit Down,77.0,25.0,592.0,1.0,Schwarzkopf,Vidámpark,status.operating
Kumba,Steel,Inverted,80.0,33.0,689.0,5.0,Vekoma,Superland,status.operating
Loop 2000,Steel,Sit Down,,11.0,365.0,1.0,Pinfari,Superland,status.closed.definitely
Hello Kitty Angel Coaster,Steel,Sit Down,,,,0.0,Zamperla,Seibuen Yuenchi,status.operating
Loop Screw,Steel,Sit Down,80.0,30.0,,3.0,Togo,Seibuen Yuenchi,status.closed.definitely
Bandit,Steel,Sit Down,110.0,60.0,1560.0,0.0,Togo,Yomiuriland,status.operating
Standing & Loop Coaster,Steel,Stand Up,,25.0,,1.0,Togo,Yomiuriland,status.operating
Wan Wan Coaster Wandit,Steel,Sit Down,30.0,6.0,148.0,0.0,Hoei Sangyo,Yomiuriland,status.operating
White Canyon,Steel,Sit Down,84.0,35.0,1100.0,0.0,RCCA,Yomiuriland,status.closed.definitely
Doo Wopper,Steel,Sit Down,,11.0,270.0,0.0,Zamperla,Morey's Piers,status.operating
Flitzer,Steel,Sit Down,,,,0.0,Zierer,Morey's Piers,status.operating
Fly the Great Nor'Easter,Steel,Inverted,89.0,35.0,661.0,5.0,Vekoma,Morey's Piers,status.operating
Great White,Wooden,Sit Down,81.0,34.0,1006.0,0.0,CCI,Morey's Piers,status.operating
Rollies Coaster,Steel,Sit Down,,,,0.0,Pinfari,Morey's Piers,status.operating
Sea Serpent,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,Morey's Piers,status.operating
SL Coaster,Steel,Sit Down,,,,0.0,Togo,Yomiuriland,status.closed.definitely
Blauer Enzian,Steel,Sit Down,,,,0.0,Mack,Freizeit-Land Geiselwind,status.operating
Boomerang,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,Freizeit-Land Geiselwind,status.operating
Drehgondelbahn,Steel,Spinning,,,,0.0,Zierer,Freizeit-Land Geiselwind,status.operating
Marienkäferbahn,Steel,Sit Down,,,,0.0,Zierer,Freizeit-Land Geiselwind,status.operating
Caterpillar Capers,Steel,Sit Down,,,,0.0,Pinfari,Camelot Theme Park,status.closed.definitely
Dragon Flyer,Steel,Sit Down,,,,0.0,na,Camelot Theme Park,status.closed.definitely
Gauntlet,Steel,Sit Down,,,,0.0,Pinfari,Camelot Theme Park,status.closed.definitely
Junior Dragon Coaster,Steel,Sit Down,,,,0.0,na,Camelot Theme Park,status.closed.definitely
Whirlwind,Steel,Spinning,,,,0.0,Maurer,Camelot Theme Park,status.closed.definitely
Exterminator,Steel,Sit Down,47.0,13.0,420.0,0.0,Reverchon,Kennywood,status.operating
Jack Rabbit,Steel,Sit Down,72.0,21.0,650.0,0.0,ACE Coaster Classic,Kennywood,status.operating
Lil' Phantom,Steel,Sit Down,,,,0.0,na,Kennywood,status.operating
Phantom's Revenge,Steel,Sit Down,132.0,70.0,975.0,0.0,Arrow,Kennywood,status.operating
Racer (Right),Wooden,Sit Down,,22.0,686.0,0.0,John Miller,Kennywood,status.operating
Thunderbolt,Steel,Sit Down,89.0,29.0,880.0,0.0,ACE Coaster Classic,Kennywood,status.operating
Corsaire,Steel,Sit Down,40.0,10.0,300.0,0.0,Soquet,Cobac Parc,status.operating
Cobra,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,PowerPark,status.operating
Joyride,Steel,Sit Down,,16.0,280.0,0.0,L&T Systems,PowerPark,status.operating
Thunderbird,Wooden,Sit Down,75.0,27.0,850.0,0.0,GCI,PowerPark,status.operating
Stinger,Steel,Sit Down,32.0,6.0,199.0,0.0,Zierer,Paultons Park,status.closed.definitely
Flying Frog,Steel,Sit Down,,,,0.0,Zierer,Paultons Park,status.closed.definitely
Cobra,Steel,Sit Down,50.0,17.0,450.0,0.0,Gerstlauer,Paultons Park,status.operating
Black Hole Scramble,Steel,Sit Down,,,,0.0,Nippon,Space World,status.closed.definitely
Boogie-woogie Space Coaster,Steel,Sit Down,,,,0.0,Senyo Kogyo,Space World,status.closed.definitely
Clipper,Steel,Sit Down,32.0,10.0,303.0,0.0,Togo,Space World,status.closed.definitely
Titan MAX,Steel,Sit Down,115.0,54.0,1530.0,0.0,Arrow,Space World,status.closed.definitely
Venus GP,Steel,Sit Down,86.0,40.0,1040.0,1.0,Maurer,Space World,status.relocated
Zaturn,Steel,Sit Down,129.0,63.0,400.0,0.0,Intamin,Space World,status.closed.definitely
Supersonic Odyssey,Steel,Sit Down,70.0,38.0,800.0,3.0,Intamin,Berjaya Times Square Theme Park,status.operating
Superman Escape,Steel,Sit Down,100.0,40.0,760.0,0.0,Intamin,Warner Bros. Movie World,status.operating
Arkham Asylum - Shock Therapy,Steel,Inverted,80.0,33.0,765.0,5.0,Vekoma,Warner Bros. Movie World,status.operating
